來源文字 ID,譯文 — 英文,譯文 — 閩南語（台灣）,譯文 — 中文（繁體）
setting.options,Options,選擇,選項
setting.plugin,Plugin,插家私,外掛程式
setting.builtin-plugins,Core plugins,關鍵 ê 插家私,核心外掛程式
setting.plugin-options,Plugin options,插家私 ê 選擇,外掛程式選項
setting.folder-path-example-placeholder,Example: folder 1/folder 2,例：資料鋏仔 1/資料鋏仔 2,例：資料夾1/資料夾2
setting.file-path-example-placeholder,Example: folder/note,例：資料鋏仔/筆記.md,例：資料夾/筆記.md
setting.msg-restart-required,Changing this option requires a restart to take effect.,若有修改這个選項，愛重開才有效。,變更此選項後，必須重新啟動才能讓更動生效。
setting.editor.name,Editor,編輯器,編輯器
setting.editor.section-general,General,一般,一般
setting.editor.section-behavior,Behavior,做法,行為
setting.editor.section-display,Display,顯示,顯示
setting.editor.option-spellcheck,Spell check,拼字檢查,拼寫檢查
setting.editor.option-spellcheck-description,Turns on the spell checker. Currently only works for English (US).,Kā 檢查拼字 ê 程式拍開。目前 kan-na 對美國英語有效。,開啟拼寫檢查器。目前只適用於英語（美式）。
setting.editor.spellcheck-languages,Spellcheck languages,檢查拼字 ê 言語,檢查語言拼字
setting.editor.spellcheck-languages-description,Choose the languages for the spellchecker to use.,揀一下檢查拼字程式愛用 ê 言語。,選擇拼字檢查工具要檢查的語言。
setting.editor.spellcheck-languages-mac-description,The native spellchecker will automatically detect the language being used for you on macOS.,佇 macOS 面頂，內附 ê 檢查拼字程序 ē 自動共 lí 鬥偵測愛用个言語。,原生的拼字檢查工具會自動偵測您在 macOS 使用的語言。
setting.editor.spellcheck-dict,Spellcheck dictionary,檢查拼字 ê 詞典,拼寫檢查詞典
setting.editor.spellcheck-dict-empty,The spellcheck dictionary is empty.,檢查拼字 ê 詞典內底無物件。,拼寫檢查詞典是空的。
setting.editor.option-show-inline-title,Show inline title,共標題顯示佇頁面內,顯示內嵌標題
setting.editor.option-show-inline-title-description,Displays the filename as an editable title inline with the file contents.,Kā 檔案名顯示做 ē-tàng 編輯 ê 標題，kah 檔案內容顯示做伙。,將檔名顯示為可編輯的標題，與檔案內容並列。
setting.editor.option-readable-line-length,Readable line length,Readable line length,縮減行寬
setting.editor.option-readable-line-description,"Limit maximum line length. Fits less content on the screen, but makes long paragraphs more readable.","Limit maximum line length. Fits less content on the screen, but makes long paragraphs more readable.",開啟後將限制每行字數，使螢幕顯示的內容減少，但使長段落更具可讀性。
setting.editor.option-strict-line-break,Strict line breaks,Strict line breaks,精確的換行符號
setting.editor.option-strict-line-break-description,"In preview mode, ignore single line breaks according to the Markdown specs. Turn this off for single line breaks to show in preview.","In preview mode, ignore single line breaks according to the Markdown specs. Turn this off for single line breaks to show in preview.",在預覽模式下，根據 Markdown 語法忽略單行換行符號。將此選項關閉可在預覽中顯示單行換行符號。
setting.editor.option-show-frontmatter,Show frontmatter,Show frontmatter,顯示正文前頁
setting.editor.option-show-frontmatter-description,"In preview mode, show frontmatter as a code block. Turn off to hide frontmatter section.","In preview mode, show frontmatter as a code block. Turn off to hide frontmatter section.",在預覽狀態時顯示正文前頁。關閉選項則隱藏前頁內容。
setting.editor.option-auto-pair-brackets,Auto pair brackets,Auto pair brackets,自動補全雙括號
setting.editor.option-auto-pair-brackets-description,Pair brackets and quotes automatically.,Pair brackets and quotes automatically.,自動補全括號和引號。
setting.editor.option-auto-pair-markdown,Auto pair Markdown syntax,Auto pair Markdown syntax,自動補全 Markdown 語法
setting.editor.option-auto-pair-markdown-description,"Pair symbols automatically for bold, italics, highlight, strikethrough, and code.","Pair symbols automatically for bold, italics, highlight, strikethrough, and code.",自動補全表示粗體和斜體的標記。
setting.editor.option-smart-indent-lists,Smart indent lists,Smart indent lists,智慧列表
setting.editor.option-smart-indent-lists-description,Take care of indentation and list marker for you.,Take care of indentation and list marker for you.,開啟後 Obsidian 將根據換行和縮排情況自動調整列表符號。
setting.editor.option-fold-heading,Fold heading,Fold heading,收合標題
setting.editor.option-fold-heading-description,Let you fold everything under a heading.,Let you fold everything under a heading.,將標題行下層所有文字都收合到標題行。
setting.editor.option-fold-indent,Fold indent,Fold indent,收合縮排
setting.editor.option-fold-indent-description,"Let you fold a portion of the same indentation, such as lists.","Let you fold a portion of the same indentation, such as lists.",把相同的縮排內容（如列表）收合起來。
setting.editor.option-default-new-tab-view,Default view for new tabs,Default view for new tabs,新分頁的預設檢視模式
setting.editor.option-default-new-tab-view-description,The default view that a new markdown tab gets opened in.,The default view that a new markdown tab gets opened in.,開啟新 Markdown 分頁後的預設檢視模式。
setting.editor.option-default-new-tab-view-editing,Editing view,Editing view,編輯檢視模式
setting.editor.option-default-new-tab-view-reading,Reading view,Reading view,閱讀檢視模式
setting.editor.option-open-tab-in-foreground,Always focus new tabs,Always focus new tabs,一律聚焦於新分頁
